Time,GGVF1Y,GGVF3Y,GGVF5Y,CPI,FER,Baserate,Oilrate,FIR,Stockreturn,Fiscal,Pubdebt,CurrentAcc
2006-07,0.0615,0.0819,0.0867,0.368,13384067982,8.25,0.581238172,5.5,-18.07249947,1.22461,38.406899,-0.2
2006-08,0.06063,0.08142,0.08325,0.381,13384067982,8.25,-5.563768311,5.4375,16.28039109,1.22461,38.406899,-0.2
2006-09,0.076,0.0805,0.08393,0.281,13384067982,8.25,-10.45965561,5.375,7.237672544,1.22461,38.406899,-0.2
2006-10,0.07767,0.081,0.08388,0.28,13384067982,8.25,-6.643356643,5.375,-2.883830425,1.22461,38.406899,-0.2
2006-11,0.07817,0.08133,0.08417,0.572,13384067982,8.25,7.490636704,5.5,23.75376315,1.22461,38.406899,-0.2
2006-12,0.07783,0.08092,0.08292,0.555,13384067982,8.25,-3.294266709,5.5,18.75365295,1.22461,38.406899,-0.2
2007-01,0.07534,0.07704,0.07904,1.022,23479392780,8.25,-4.765804127,6.75,38.51709964,-0.89792,40.897152,-9
2007-02,0.07325,0.074,0.07667,2.173,23479392780,8.25,6.276870163,5.4375,9.253550748,-0.89792,40.897152,-9
2007-03,0.064,0.0664,0.0679,-0.227,23479392780,8.25,6.601941748,5.375,-5.832871872,-0.89792,40.897152,-9
2007-04,0.068,0.0707,0.0724,0.496,23479392780,8.25,-0.25804493,6,-13.7623328,-0.89792,40.897152,-9
2007-05,0.067,0.06958,0.07158,0.76,23479392780,8.25,-2.571906863,6,17.05722543,-0.89792,40.897152,-9
2007-06,0.0689,0.0719,0.0738,0.861,23479392780,8.25,10.41861918,5.375,-5.252061989,-0.89792,40.897152,-9
2007-07,0.06975,0.07336,0.07559,0.932,23479392780,8.25,10.65214316,7,-11.39184916,-0.89792,40.897152,-9
2007-08,0.07258,0.07657,0.0795,0.546,23479392780,8.25,-5.331117361,6.5,0.046258054,-0.89792,40.897152,-9
2007-09,0.07542,0.07886,0.0815,0.517,23479392780,8.25,10.29034436,6,15.24599007,-0.89792,40.897152,-9
2007-10,0.07281,0.07656,0.07931,0.733,23479392780,8.25,15.75854047,5.25,1.741398086,-0.89792,40.897152,-9
2007-11,0.07733,0.0825,0.08617,1.239,23479392780,8.25,-6.156124392,4.75,-8.707245397,-0.89792,40.897152,-9
2007-12,0.07793,0.08243,0.08711,2.902,23479392780,8.25,8.216862038,4.8,-4.661901579,-0.89792,40.897152,-9
2008-01,0.0751,0.0803,0.0856,2.379,23890250550,8.75,-4.426622227,4.375,-8.94371211,0.61242,39.418907,-11
2008-02,0.07513,0.082,0.08644,3.557,23890250550,8.75,10.99607672,3.75,-21.42019405,0.61242,39.418907,-11
2008-03,0.0743,0.0819,0.0873,2.996,23890250550,8.75,-0.255277369,3.5,-22.07899894,0.61242,39.418907,-11
2008-04,0.08433,0.09375,0.099,2.201,23890250550,8.75,11.68422089,2.75,1.066073329,0.61242,39.418907,-11
2008-05,0.1612,0.1582,0.1542,3.912,23890250550,12,12.25101357,2.5,-20.72517038,0.61242,39.418907,-11
2008-06,0.21167,0.20667,0.20333,2.136,23890250550,14,9.924623116,9,-3.549867182,0.61242,39.418907,-11
